N,P,K,temperature,humidity,ph,rainfall,label
117.7,44.7,54.2,31.1,73.9,5.57,165.1,Rice
60.4,27.9,18.7,25.1,44.5,6.94,59.7,Pearl Millet
18.9,48.9,19.1,29.5,47.5,6.96,71.5,Pigeon Pea
57.7,45.9,26.1,26.1,52.8,6.18,71.2,Sunflower
100.3,41.0,17.2,24.8,69.3,6.01,97.6,Wheat
104.6,52.4,40.9,25.9,57.7,7.18,105.8,Cotton
72.7,27.1,17.3,17.1,38.4,6.74,44.1,Mustard
22.0,36.6,19.2,27.6,58.7,6.67,74.0,Black Gram
29.1,78.8,30.0,25.0,66.0,6.86,119.9,Soybean
89.8,36.5,23.4,27.5,44.4,6.1,44.7,Sorghum
24.0,37.5,23.2,26.1,69.8,6.71,67.2,Green Gram
69.6,34.8,19.9,29.8,51.0,6.54,83.0,Sorghum
23.5,57.5,29.7,24.4,77.4,6.0,71.1,Soybean
67.3,29.0,15.8,26.3,39.5,7.43,42.2,Pearl Millet
98.2,50.5,40.5,23.9,79.3,5.85,237.5,Rice
30.4,58.0,24.6,25.4,63.7,6.43,79.6,Groundnut
55.7,46.1,21.1,23.9,61.2,6.61,41.1,Sunflower
103.5,64.3,62.9,24.1,72.1,6.28,84.3,Tomato
96.9,63.2,49.6,23.5,68.3,6.13,86.9,Brinjal
18.3,35.9,19.1,22.9,61.2,6.7,82.9,Pigeon Pea
94.5,62.7,69.8,27.4,55.3,6.15,80.7,Brinjal
18.7,49.4,20.5,26.2,66.3,6.55,87.4,Black Gram
51.9,27.0,19.2,22.6,52.8,6.37,47.2,Mustard
17.2,46.8,24.1,23.0,53.4,6.98,20.3,Lentil
22.7,52.5,21.1,23.9,55.7,6.71,83.2,Green Gram
22.8,40.8,18.2,28.8,61.3,6.24,57.4,Green Gram
113.1,52.6,84.3,19.9,65.3,5.86,73.1,Potato
64.4,34.0,20.1,29.5,58.4,5.71,92.4,Finger Millet
108.2,40.3,37.7,22.1,77.0,6.09,208.8,Rice
126.5,53.1,48.9,27.1,65.8,6.61,54.1,Brinjal
68.5,39.7,16.2,20.0,57.2,6.54,70.1,Sunflower
64.2,22.1,17.2,30.2,45.2,6.37,42.9,Sorghum
109.7,50.6,20.2,16.8,69.8,6.06,93.4,Wheat
84.0,53.6,20.1,23.7,56.4,6.11,78.1,Maize
31.8,20.3,12.1,26.2,52.6,6.16,56.9,Sesame
89.2,33.5,23.5,28.2,46.9,6.89,70.2,Sorghum
41.0,20.0,11.8,26.0,48.9,7.16,51.9,Pearl Millet
130.2,67.0,86.9,18.1,69.4,6.17,51.3,Potato
24.9,78.1,19.0,29.9,73.4,6.46,100.7,Soybean
112.3,45.1,54.1,21.4,68.8,6.12,65.1,Brinjal
81.9,44.5,24.8,19.0,63.5,5.85,97.0,Maize
22.7,17.7,16.3,31.2,46.0,5.88,48.0,Sesame
88.6,35.8,40.2,28.0,71.0,6.0,239.5,Rice
27.8,21.3,18.3,29.8,54.8,6.16,57.7,Sesame
26.4,71.0,27.3,22.0,79.8,6.18,93.5,Soybean
30.9,22.4,17.2,28.2,50.6,5.76,62.4,Sesame
171.9,63.6,52.2,29.6,81.1,7.23,197.3,Sugarcane
212.8,55.8,50.8,24.5,73.6,7.07,151.3,Sugarcane
195.8,57.6,70.5,26.3,70.7,6.55,235.9,Sugarcane
101.9,52.3,48.0,24.2,84.2,5.74,198.8,Rice
98.4,46.6,53.2,22.3,52.1,6.03,54.6,Chili
